disease,symptoms
gastroesophageal reflux disease,i have heartburn and indigestion i vomit everything i eat food gets stuck in my throat making it difficult for me to swallow i have a pain in my upper abdomen
malaria,ive been feeling really hot and sweaty and ive been throwing up ive also been shivering and my skin is really itchy i have a headache and my muscles hurt
urinary tract infection,i have a strong urge to urinate frequently especially at night my urine is cloudy and has a strong odor i also have a fever
impetigo,i have a fever and feel weak i have sores on my face that are itchy and uncomfortable the sores sometimes ooze a yellow fluid
pneumonia,ive been feeling really sick lately ive been getting chills and im always tired i have this cough that just wont go away its really hard to breathe when i cough and my chest hurts ive also been coughing up this really gross rusty phlegm
psoriasis,ive noticed that my skin is more sensitive now than it used to be its red and itchy i have silvery scales on my back and elbows
hypertension,ive been having chest pains headaches and ive been feeling dizzy
impetigo,i have a rash on my face and neck its red and blistery im worried about it
diabetes,im shaking and trembling all over ive lost my sense of taste and smell and im exhausted i occasionally get palpitations or a racing heart
pneumonia,im having trouble breathing and have a fever im sweating a lot and feel really tired and cold my heart is racing and im coughing up some brown mucus
dengue,i have been experiencing severe joint pain and i am unable to move i have also lost my appetite and feel weak
diabetes,ive been feeling really thirsty and hungry lately i also get really tired sometimes
bronchial asthma,ive been having trouble breathing coughing and feeling exhausted ive been coughing up a lot of thick mucusy stuff and have a fever im just feeling really drained and tired
malaria,i have a fever vomiting chills and severe itching ive also been sweating a lot and have a headache ive also been feeling nauseous and my muscles ache
migraine,i have been experiencing headaches blurred and distorted vision excessive hunger a stiff neck depression irritability and visual disturbance
common cold,ive been coughing and sneezing for days my nose is stuffy and my face hurts ive been coughing up phlegm and it hurts in my chest i cant smell anything and my muscles hurt
drug reaction,ive noticed a change in my monthly cycle and an unexpected vaginal discharge i get irritable every now and again and my moods swing a lot
jaundice,ive been feeling really itchy all over and ive been throwing up ive also lost a lot of weight and im always tired my skin and my pee are both yellow and my stomach hurts
allergy,i have stomach cramps nausea and diarrhea my throat is swollen and i have difficulty breathing sometimes at night i get chest pain and nauseous
psoriasis,ive been having trouble sleeping because of the rash its itchy and painful ive also noticed that my nails have little dents in them which is really alarming and my joints are sore every day and i dont know why
impetigo,ive been having a fever for a few days and i have sores around my nose and rashes on my body the sores are really bad and im feeling really sick
chicken pox,i have red spots on my arms and legs that are really itchy i cant sleep at night because of the itching i also have a headache and a fever
diabetes,ive been feeling very thirsty lately and ive been getting hungry more often ive also been feeling very tired
migraine,i have been having frequent headaches and blurred vision
gastroesophageal reflux disease,i have a sour taste in my mouth even when i havent eaten anything acidic i also get hiccups and a feeling of a lump in my throat
migraine,i have been having frequent headaches that are so bad that they make me throw up i also have blurred vision a sore neck and anxiety
urinary tract infection,i have a pain in my lower abdomen and i feel like i have to pee all the time when i do pee it burns and i feel like im not getting everything out ive also been feeling really cold and weak
chicken pox,i have a rash all over my body its really itchy and uncomfortable im also feeling really tired and exhausted
gastroesophageal reflux disease,i have a sour taste in my mouth all the time even when i havent eaten anything acidic i also get hiccups and a lump in my throat a lot
dengue,ive been feeling really tired and weak and i cant seem to get enough sleep i also have a rash on my neck that itches really bad
impetigo,i have a rash on my skin that is red raised and filled with fluid it is painful to touch and i have a fever
arthritis,my neck is really stiff and my muscles are weak my joints are swollen and its hard for me to move without getting stiff walking is also unpleasant
hypertension,ive been having headaches chest discomfort dizziness and difficulty concentrating
diabetes,i have rashes and skin irritations especially in the folds of my skin my cuts and bruises dont heal very quickly either
allergy,im feeling sick shaky and nauseous i have a sore throat that makes it hard to breathe i occasionally have chest pains at night and sometimes feel sick
cervical spondylosis,ive been having back pain a persistent cough and numbness in my arms and legs ive also had trouble staying balanced and experiencing dizziness my neck hurts too
fungal infection,my skin has been acting up recently its been itchy and ive been getting rashes there are also some spots that are a different color than the rest of my skin and i have these lumps or bumps that werent there before
common cold,ive been feeling really tired and sick my nose is running and im sneezing a lot my head hurts and i feel like i have no energy i also have a fever and feel like im burning up
migraine,ive been having eyesight problems increased appetite a sore neck melancholy irritability and regular headaches as well as acid reflux indigestion and frequent dizziness these symptoms have made my regular activities more difficult and have caused me a great deal of distress
psoriasis,my genitals are red and irritated it is often itchy burning and painful i also have rashes on other parts of my body and my joints hurt
fungal infection,ive been itching a lot and its been accompanied with a rash that looks to be getting worse over time there are also some patches of skin that are different colours from the rest of the skin as well as some lumps that resemble little nodes
cervical spondylosis,my muscles are weak and i have back pain ive been feeling lightheaded and dizzy and my neck hurts
typhoid,i have a high fever and a headache i also have a lot of pain in my belly i cant go to work because of this
arthritis,ive been feeling weak and achy lately and my joints are swollen and stiff its hard to move around and walking is especially painful
common cold,ive been feeling really tired and sick my throat is really sore and ive been coughing a lot my nose is really stuffy and i have a lot of pressure in my sinuses i feel really miserable and exhausted
chicken pox,ive been feeling really itchy all over my body and i have a rash thats red and inflamed
peptic ulcer disease,i have difficulty swallowing food and often get a sensation of the food getting stuck in my throat i have constant belching and bloating there is a persitent sour taste in my mouth
urinary tract infection,i have pain in my abdomen and often get feverish i have sudden and strong urges to pee the pain is almost constant and often increases at night time my pee almost always has a foul smell i also feel like im not emptying my bladder completely
impetigo,i have sores on my face that are healing very slowly and are getting infected the sores are large and painful to the touch i cant seem to get rid of them
impetigo,i have a rash on my skin it is mainly near my nose but it is spreading to other parts of my body i am worried about this
allergy,i have asthma like symptoms like wheezing and difficulty breathing i often get fever and have headaches i feel tired all the time i have a runny nose and itchy eyes
diabetes,im having trouble concentrating and my emotions are all over the place my mind feels cloudy and foggy at times making it hard to do even simple tasks
allergy,i feel sick queasy and wobbly my throat is swollen and makes it hard for me to breathe my chest hurts sometimes at night and i sometimes feel sick
varicose veins,i have noticed cramps in my calves are becoming more frequent and intense it is causing me a lot of discomforts i am also overweight and my legs have started to swell i am worried that i may have varicose veins
bronchial asthma,i have been suffering from dry cough and difficulty in breathing for a week now i also feel weak throughout the day
pneumonia,im having trouble breathing and im sweating a lot i feel really sick and my throat is full of phlegm my chest hurts and my heart is racing im coughing up a lot of mucus thats brown and stringy
cervical spondylosis,ive been experiencing neck pain balance issues and dizziness
malaria,ive been feeling really sick for the past few days i have a high fever chills and intense itching ive also been vomiting and sweating a lot my head hurts and i feel nauseous and achy all over
arthritis,ive been experiencing stiffness and weakness in my neck muscles recently my joints have grown and its hard for me to walk without getting stiff walking has been extremely uncomfortable
bronchial asthma,ive been having a fever a cough and shortness of breath ive also been coughing up a lot of thick sticky saliva im feeling really tired and worn out
cervical spondylosis,ive been having a lot of back pain and its been radiating down my arms and legs ive also been having trouble staying balanced and experiencing dizziness my neck hurts too
impetigo,i have a rash on my skin that has blisters the blisters are filled with fluid and are painful to touch i also have a fever
gastroesophageal reflux disease,i get heartburn and indigestion a lot its worse when i eat spicy or fatty foods i also get chest pain that gets worse when i lie down or bend over
drug reaction,i have rashes that sometimes peel off my skin this makes me more likely to get infections my hands shake and i sometimes have tremors
pneumonia,ive been feeling really run down and achy and i cant stop coughing it hurts in my chest when i do and my heart feels like its racing ive been coughing up a lot of gross brown mucus
urinary tract infection,ive had low temps and blood in my urine for the past three days my pee smells terrible and my head hurts so much i cant control when i need to pee
malaria,i have a high fever chills and severe itching i also have a headache excessive sweating nausea and muscle aches
chicken pox,i have a really bad rash on my skin its really itchy and painful i also have a fever headache and fatigue
varicose veins,i have some strange veins on my legs that im not sure about im a bit overweight and im worried about them
peptic ulcer disease,i have pain in my stomach that is worse when i hunch down or lie down i have pain after eating certain foods like hot or acidic food i sometimes have loose stools because of this
psoriasis,i have a rash on my skin that is itchy and irritating it is also flaky it has spread to other areas of my body including my chest and belly it is worse at night
migraine,ive been having a lot of headaches lately and theyre getting worse i also have a sore neck and im feeling anxious and irritated ive also been having trouble seeing things clearly
diabetes,i have trouble breathing especially when im outside i start to feel hot and sweaty i also get urinary tract infections and yeast infections a lot
bronchial asthma,ive been coughing a lot and its hard to breathe ive also been coughing up a lot of thick mucusy saliva ive been feeling really tired and i have a fever
migraine,ive been having trouble seeing things clearly and they look distorted
peptic ulcer disease,i have been having constipation and diarrhea i also have a lack of energy and appetite
diabetes,ive been having trouble healing from my wound my hands and feet have been tingling and going numb ive also been feeling very weak
bronchial asthma,i have been having trouble breathing for a few days i have a high fever and i feel very tired can you recommend some medications for me
bronchial asthma,ive been having a dry cough for a week and im having trouble breathing i feel weak and tired
arthritis,i have been having a lot of pain in my joints and muscles my neck is stiff and i have a hard time moving around i also have a lot of pain when i try to steer my car
fungal infection,ive been having these red rashes that keep popping up and my skin is constantly itching ive also noticed some odd colordifferent spots on my skin as well as some little nodules on my skin that appear to be expanding
common cold,i feel like im getting a cold my neck is swollen and im exhausted my throat is scratchy and my eyes are burning red my nose is really clogged and i am experiencing facial pressure my chest hurts and im unable to smell anything
migraine,i have been having headaches that are so bad that i cant see straight i also have nausea vomiting and sensitivity to light and sound
cervical spondylosis,ive been having neck pain and ive been feeling lightheaded ive also been having trouble standing still
dengue,i have developed rashes all over my body that are itchy and i have lost my appetite i feel very tired all day and i feel like something is wrong with my body
allergy,i have a really bad sore throat and i feel tired all the time i also get feverish and often have muscle aches sometimes my whole body just cramps up
urinary tract infection,i have to urinate a lot but when i do it hurts and i only get a little bit out the urine is cloudy and bloody and sometimes smells bad i also feel nauseous
urinary tract infection,i have been having a problem with my pee it smells funny and sometimes it is red or black i also have been having trouble sleeping because my body temperature keeps changing
drug reaction,i have rashes that sometimes cause my skin to flake off im more likely to get sick because of this my hands sometimes shake and i feel shaky
migraine,i have been having migraines for a few days i have distorted eyesight excessive appetite a painful neck melancholy irritability acid reflux indigestion and regular headaches
varicose veins,i have a rash on my legs that is giving me a lot of pain there appears to be a cramp and i can see visible veins on my calf
arthritis,i have been feeling stiff my neck is stiff my joints are swollen and i have muscular weakness i also feel uncomfortable when i walk
urinary tract infection,ive had a low grade fever for the past four days and my urine has been bloody it smells really bad and my head hurts i cant control when i have to pee and i have to go all the time
peptic ulcer disease,i have a burning feeling in my stomach its worse when i eat or drink i also get heartburn indigestion and nausea
gastroesophageal reflux disease,i have a burning sensation in my chest and throat it feels like acid or food is coming up into my throat its worse when i lie down i also have heartburn and indigestion after i eat and i sometimes throw up
fungal infection,my skin is really itchy and it sometimes breaks out into a rash i also have some weird areas of skin that are a different color than the rest of me and sometimes i get little bumps that look like nodules
diabetes,i have to pee a lot and im always hungry i get dizzy and confused a lot ive also lost my eyesight
arthritis,my neck is weak and stiff my joints are enlarged and it is hard for me to walk without feeling stiff walking is also excruciatingly uncomfortable
arthritis,ive been having a lot of pain in my joints especially in my neck and shoulders its hard to move around and im always feeling stiff ive also been having trouble sleeping because of the pain
typhoid,ive been having a lot of pain in my stomach and ive been feeling really bloated and constipated ive also been having a fever and chills
gastroesophageal reflux disease,i have a lot of burping and belching i get chest discomfort that goes up my neck and into my jaw and arm i have pressure and tension in my chest
allergy,ive been feeling sick for a few days i have a sore throat and my nose is running ive also been having trouble swallowing
psoriasis,i have red and inflamed skin around my mouth nose and eyes it is often itchy and uncomfortable recently it has gotten very painful
varicose veins,i have varicose veins on my legs they are swollen and protruding from my skin they are painful and noticeable
typhoid,ive been having terrible stomach pains and ive been vomiting and constipated im worried about my health
fungal infection,i have a rash on my skin that is itchy and has been getting worse over time there are also some patches of skin that are different colors than the rest and ive noticed some bumps that look like little nodes
cervical spondylosis,i have been having back pain a lingering cough and muscle weakness i also have dizziness and balance issues and my neck hurts
fungal infection,i have a rash on my skin that is itchy and uncomfortable there are also some odd patches of skin that are a different color i also have a few pimples on my skin that resemble little knots
impetigo,i have a sore on my nose that has crusted over and is hard to touch it used to leak a yellowrust colored fluid and it is taking a lot longer to deal with using medication
typhoid,i have been having loose watery stools many times a day i have lost my appetite and am always sick i am also developing a mild fever my abdominal part pains a lot i dont know what the reason behind all of these is
fungal infection,ive been really itchy lately and there are these rashy spots all over my skin there are also some areas that look different in shade than the rest of my skin and ive had some bumps that are kind of hard im not sure what it is but id like to get it checked out
drug reaction,i have difficulty concentrating and i forget things a lot i have low mental clarity and i have trouble remembering things
jaundice,ive been feeling really sick and tired ive also had a fever and lost a lot of weight my skin and urine have both turned yellow ive also been having some stomach pain
chicken pox,i feel really sick i have no energy and have lost my appetite i also have small red spots on my skin
cervical spondylosis,i have a terrible backache and ive been coughing a lot my arms and legs are weak and i have trouble balancing my neck hurts too
peptic ulcer disease,i have a lot of stomach pain and i have to take antacids to help i have lost a lot of weight and i cant seem to gain it back my mouth hurts really bad
chicken pox,im really tired and weak i can barely keep my eyes open i have a fever and i dont feel like eating anything i think ive lost my appetite
pneumonia,ive been feeling really cold and tired lately ive been coughing a lot and it hurts when i breathe my heart is beating really fast and when i cough i cough up phlegm thats kind of a rusty color
impetigo,i have small red sores near my nose and neck that are painful and inflamed i also have a high fever
typhoid,i have been experiencing a lot of belly pain and constipation i also feel like i need to vomit and i am feeling very weak
dengue,i have red spots on my arms and legs that are itchy and inflamed i have been feeling sick to my stomach and have a constant urge to vomit i also have a mild fever
typhoid,ive been feeling really tired and weak for a few days now i also have a fever and a pain in my stomach i dont know whats wrong with me
allergy,i have a sore throat and a lot of sneezing there are times when the skin around my eyes and my lips swell i find that once i start i just cannot stop
pneumonia,ive been feeling really unwell recently ive been having chills a cough and a high temperature ive also been struggling to breathe and ive been sweating a lot ive also had some thick black phlegm
varicose veins,i have a rash on my legs that is getting worse i have difficulty running
peptic ulcer disease,i have a sour taste in my mouth i burp and belch a lot i have pressure or fullness in my upper abdomen
malaria,ive been feeling really sick for the past few days i have a high fever chills and a headache ive also been vomiting and sweating a lot im also really itchy and my muscles are sore
common cold,ive been feeling really tired and my eyes have been really red my nose is stuffy and ive been coughing up a lot of phlegm ive also noticed my lymph nodes are swollen
typhoid,ive been feeling really tired and weak and i cant seem to shake it ive also lost my appetite because of the vomiting and nausea my stomach is also hurting me
drug reaction,i have rashes on my skin that flake off and make me prone to infection my fingers twitch and i sometimes shake
diabetes,im always feeling tired and worn out my vision is blurry and seems to be getting worse i also get dizzy and lightheaded sometimes
gastroesophageal reflux disease,i have a sore throat or hoarseness especially in the morning i have a chronic nagging pain in my throat and bad breath i also have frequent belching i have a burning sensation in my chest when i lay down
dengue,i have been feeling nauseous and have a constant urge to vomit i get high fever and chills every night and feel terrible because of this also i feel i have lost my appetite
hypertension,i was in the middle of a workout when i suddenly felt lightheaded and dizzy i also had a headache and chest pain ive been having trouble balancing myself since then
dengue,ive been vomiting a lot and im not hungry my muscles joints and back hurt all the time im starting to have a fever too im really worried and not sure what to do
malaria,ive been feeling really hot and cold lately ive also been itching a lot and have a headache ive been sweating a lot and feel nauseous my muscles are also aching
malaria,ive been feeling really sick lately ive been having a high fever chills and vomiting im also sweating a lot and have a headache i feel nauseous and my muscles are really sore
hypertension,i was driving home from work and suddenly felt a headache chest discomfort and dizziness ive been having trouble concentrating and focusing while driving since then
common cold,ive been sneezing a lot and i have a really bad cough i feel weak and exhausted and my temperature is high
urinary tract infection,ive been having to pee a lot and it hurts ive also been peeing blood what should i do
psoriasis,i have a rash that is itchy and painful my nails have little dents in them i also have skin peeling in different parts of my body
diabetes,i have trouble breathing when i exercise i sweat a lot and get hot easily i get yeast infections a lot
chicken pox,i have rashes on my arms and neck that itch when i scratch them i also have a fever i dont know what is causing it the itching is really bothering me
cervical spondylosis,ive been experiencing neck pain vertigo and instability ive also been having a chronic cough and limb weakness
impetigo,i have a rash on my face and its really painful there are little blisters around my nose and theyre oozing yellow liquid
impetigo,i have sores on my face they are red and crusty they are mostly around my nose and lips they are painful and there is a yellow or rustcolored fluid coming out of them
allergy,i have a sore throat and i am sneezing all the time sometimes my face swells up especially my lips and the area around my eyes i cant stop sneezing once i start
diabetes,i have to pee a lot and im always thirsty i get dizzy and confused sometimes ive also lost a lot of my vision
varicose veins,i have a lot of pain in my legs especially when i stand or walk for a long time the skin on my calves is also swollen and red
fungal infection,i have a rash on my skin that looks like dischromic patches and i also have a lot of nodular eruptions and really bad itching it has gotten worse over the last week
psoriasis,i have been having a lot of skin problems lately i have red scaly patches on my skin that are itchy and painful
varicose veins,i have been feeling a lot of pain in my legs lately it feels like a cramp and it is worse when i stand or walk for a long time
peptic ulcer disease,i have a lot of stomach pain and its hard for me to sleep i also feel really anxious and have no appetite
gastroesophageal reflux disease,i have a lot of belching and burping i also have chest pain that goes to my back neck and arm i feel pressure and stress in my chest
common cold,ive been sneezing a lot and my nose is running im also feeling really tired and achy and ive been coughing a lot my fever is also pretty high
hypertension,i suddenly felt a headache chest pain and dizziness in the middle of a conference ive been having trouble concentrating and focusing on the topic since then
gastroesophageal reflux disease,i feel like im going to throw up after i eat i have a lot of pain in my abdomen and i have really bad acid reflux
pneumonia,ive been feeling really bad with a high fever shortness of breath sweating chills and extreme fatigue my heart is racing and ive been coughing up a lot of brown phlegm
peptic ulcer disease,i have been feeling bloated and uneasy for a while now ive also been losing weight and i dont like eating as much as i used to sometimes i get bloody vomit and dark tarry stools
peptic ulcer disease,i have a constant hunger and appetite sometimes my stomach will cramp and spasm after i eat i feel bloated and gassy
jaundice,ive been losing weight feeling really tired and throwing up a lot my skin has turned yellow and i have a fever my urine is dark and ive been having stomach pain
chicken pox,i have a rash all over my body and i feel really sick i have a fever and a headache and i dont know whats wrong
common cold,i have red watery eyes and my sinuses are tight i have trouble breathing and im tired my lymph nodes are swollen and i have a lot of throat mucous
chicken pox,i have a fever headache and swollen lymph nodes i feel weak and fatigued im having trouble concentrating because of the fever
drug reaction,i have a fever and i feel dizzy and lightheaded my heart is beating very fast and i feel very confused i cant think very clearly and everything feels foggy
impetigo,i have a fever headache and a rash on my arms and face im also worried about the red sores around my nose and lips
psoriasis,i have a skin condition that causes dry flaky patches on my skin i also have joint pain and the skin on my knees and elbows is peeling off
hypertension,ive been having a headache chest pain dizziness and trouble concentrating
dengue,ive been feeling sick and feel like im going to throw up theres a sharp pain behind my eyes and my back is covered in red spots
typhoid,ive been having constipation and belly pain for a few days now the belly pain has been getting worse and is starting to affect my daily life i also get chills every night followed by a mild fever
drug reaction,i have been taking this medication for a while and i have gained a lot of weight i have also been craving different foods and have been eating more than i used to
common cold,ive been feeling really run down and sick ive been sneezing a lot and i cant seem to get warm my head hurts and i feel like i have a fever
allergy,i feel sick to my stomach lightheaded and dizzy my throat is swollen and i cant breathe well i sometimes feel pain in my chest and nausea at night
diabetes,ive been drinking a lot more water and going to the bathroom more often my mouth and throat are always dry ive also been hungrier than usual
dengue,i have red spots on my body that are itchy and inflamed i also have a high fever and chills
psoriasis,i have noticed that my skin has been dry and itchy there are some red patches on my skin that are covered in a silver like dusting
hypertension,ive been experiencing headaches chest pain and dizziness ive also been having trouble walking and concentrating
malaria,ive been having a really high fever chills and nausea ive also been sweating a lot and my muscles hurt i feel really queasy and have a headache
jaundice,i have been feeling very sick lately i have been having a lot of itching vomiting and fatigue i have also lost a lot of weight and have a high fever my skin has turned yellow and my urine is dark i have also been having some abdominal pain
hypertension,ive been having chest pain dizziness and a headache that feels like its in a narrow zone around my head
allergy,ive been having trouble swallowing and my throat is sore my nose has been running and ive been sneezing a lot
pneumonia,ive been feeling really tired and achy and i cant seem to shake this cough when i cough my chest hurts and my heart feels like its racing ive also been coughing up a lot of nasty rustycolored phlegm
peptic ulcer disease,i have a stomach ache that keeps me up at night after i use the bathroom i feel tired and i dont want to eat im always nervous
impetigo,i have sores around my nose that are crusted over and hard to touch they used to ooze a yellowrust colored liquid it is taking a long time to heal
allergy,i have a runny nose and sneeze a lot my eyes are sore and watery and i have a headache
pneumonia,ive been feeling really cold and im so tired i cant seem to shake this cough and it hurts when i cough my chest aches and my heart is racing the mucus im coughing up is a disgusting brownish color
varicose veins,i have cramps in my calves that are getting worse i cant walk very far without them getting really bad
peptic ulcer disease,i have a sour acidic taste in my mouth i have frequent belching and burping i have a feeling of pressure or fullness in my upper abdomen that last for a few hours i have a pain in my upper abdomen that is worse when i eat
typhoid,i have been having a lot of stomach pain and constipation for the past few days i have also lost my appetite and feel very weak
gastroesophageal reflux disease,i have a burning sensation in my chest and throat and i often feel like i have to clear my throat i also have a bad taste in my mouth and my breath smells bad
impetigo,i have a rash around my nose and mouth and its spreading to other parts of my body i also have a fever
chicken pox,i have a rash all over my body its red and itchy ive also been feeling achy and tired
impetigo,i have a fever and a rash on my face the rash is red and painful and its oozing yellow fluid
allergy,im always tired my mouth tastes bad and my throat itches my muscles are hot and painful and my whole body can cramp up sometimes
common cold,i have a runny nose and a sore throat ive been coughing a lot and my chest feels tight i feel tired and achy and i have no sense of smell
pneumonia,im having trouble breathing im sweating and my heart is racing my chest hurts and im coughing up dark stringy mucus
chicken pox,ive been feeling really tired and weak i can barely get out of bed in the morning and im having trouble staying awake during the day
jaundice,ive been feeling really sick ive had a fever lost weight and ive been really tired my skin and my urine have turned yellow ive also been having stomach pain
allergy,i have asthma and i get wheezing and breathing problems i also have fevers headaches and i feel tired all the time
impetigo,i have a rash on my face and nose i dont know what it is the sores on my cheek are big and they hurt to touch i also have a burning feeling and redness on my skin
urinary tract infection,i have a strong smell in my urine and it is cloudy i have been having fevers and need to urinate more often at night
arthritis,my muscles are weak and my neck is tight my joints are swollen and it hurts to move
gastroesophageal reflux disease,i have a sour taste in my mouth all the time even when i havent eaten anything acidic i also get the hiccups a lot and have a knot in my throat
common cold,ive been sneezing a lot and i feel really tired i have a lot of gunk in my nose and throat and my throat hurts my neck also feels swollen
varicose veins,i have been having cramps in my calves when i walk or stand for long periods of time i have also noticed bruise marks on my calves i feel tired very soon
urinary tract infection,ive been having a lot of pain in my lower abdomen and it feels like my bladder is about to explode when i urinate ive also been feeling very weak and have had a low body temperature since these symptoms started
cervical spondylosis,i have been having back pain a cough that wont go away and weakness in my arms and legs my neck hurts and i have been dizzy and have trouble keeping my balance
hypertension,ive been having headaches chest pain and lightheadedness its been hard to concentrate at work
fungal infection,i have a rash all over my body its itchy and the patches are darker than the rest of my skin i also have some firm lumps
bronchial asthma,ive been feeling really weak and tired lately and i have a cough that just wont go away ive also been running a high fever and its been hard for me to breathe ive been coughing up a lot of mucous
psoriasis,i have a rash on my skin that is itchy and uncomfortable it is also red and flaky it has been spreading to other parts of my body including my chest and abdomen i am also facing skin peeling
pneumonia,im having trouble breathing and im sweating a lot i feel really sick and i have a lot of mucus in my throat my chest hurts and my heart is racing im coughing up a lot of dark mucus that looks like rust
bronchial asthma,ive been coughing a lot and its hard to breathe im also really tired and exhausted ive been coughing up a lot of thick mucusy stuff i have a fever too
gastroesophageal reflux disease,i have a burning sensation in my chest that comes and goes i feel like food or acid is backing up in my throat my chest discomfort only becomes worse while im lying down after eating i frequently have heartburn or indigestion and throw up
psoriasis,i have small dents in my nails my joints are hurting a lot i have a silver like dusting on my skin especially on my back
peptic ulcer disease,i have a sour taste in my mouth i burp and belch a lot my upper abdomen feels full or pressured
typhoid,ive had a high fever especially at night its been really bad ive also had a headache constipation and diarrhea i dont want to eat anything
drug reaction,i have severe nausea and chest discomfort i have been having chest discomfort lately i often shiver a lot and feel really nervous i have been taking a new medication for my high blood pressure
arthritis,my muscles have been weak and my neck is tight i have swollen joints that make it hard to move and walking is painful
dengue,i have a rash all over my body its red and swollen and its worse in some places like my arms and legs i also dont feel like eating
cervical spondylosis,i have been having back pain a productive cough and muscle weakness i also have dizziness and uneven balance and my neck hurts
peptic ulcer disease,i have a sour taste in my mouth and ive been belching a lot my upper abdomen feels full and pressed in
common cold,i have a bad cold ive been sneezing a lot and i have a sore throat i also have a lot of mucus in my nose and throat my neck is a little swollen and it hurts when i swallow
varicose veins,i have dark purple veins on my legs they look like they are bulging out i also get cramps when i run or sprint
hypertension,ive been having a headache and chest pain all day and im also feeling dizzy and unsteady on my feet
urinary tract infection,i have to go to the bathroom a lot but only a few drops of urine come out i have severe stomach pains and an overwhelming urge to urinate
urinary tract infection,i have to constantly go to the bathroom to pee but i cant seem to empty my bladder i get these very strong and uncontrollable urges to pee and sometimes my pee is dark or bloody
varicose veins,i have these bulging veins on my legs that are very noticeable and are causing me a lot of discomforts they are swollen and protrude from my skin making them visible through my clothing
dengue,i have been experiencing severe joint pain and headaches for the past few days i also have a mild fever and chills
hypertension,ive been having a headache that feels like a tight band around my head and ive also been having chest pain and dizziness
gastroesophageal reflux disease,im having trouble eating and its hard to swallow i feel full even after eating a small meal i also have nausea heartburn and a tingling sensation in my throat
impetigo,i have a rash around my nose and its spreading to other parts of my body i also have a high fever every night
gastroesophageal reflux disease,i belch and burp a lot i get chest pain that goes to my arm jaw and back of my neck i feel pressure and stress in my chest
malaria,ive been feeling really sick i have a high fever chills and severe itching ive also been vomiting and having a headache im also sweating a lot and feeling nauseous and achy
diabetes,i have a cough that wont go away and im always sneezing i also have palpitations and my infections dont seem to be healing my throat hurts sometimes but it usually gets better
common cold,ive been coughing a lot and i feel cold and shivery my nose is stuffy and i feel pressure in my face i have a lot of phlegm and coughing hurts my chest i cant smell anything and my muscles hurt
impetigo,i have a rash on my face i have small sores around my nose and they are very painful sometimes a yellow fluid comes out of the sores
